epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
59,826.399,0.69811,0.48837,0.05704,0.01068,0.96217,0.9344,0.98775,0.85393,0.5692,0.30648,0.0685,0.00571,0.000608468,0.000608468,0.000608468
60,845.686,0.68785,0.51678,0.05836,0.0139,0.9813,0.91623,0.98124,0.8539,0.57378,0.31887,0.06807,0.00615,0.000594321,0.000594321,0.000594321
61,859.768,0.63027,0.47583,0.05917,0.00963,0.97841,0.87343,0.98021,0.84977,0.58718,0.33513,0.06809,0.00741,0.000580174,0.000580174,0.000580174
62,875.636,0.67956,0.48441,0.05562,0.01423,0.87101,0.95158,0.97562,0.85223,0.5771,0.36056,0.0689,0.00593,0.000566027,0.000566027,0.000566027
63,888.574,0.62983,0.55314,0.05819,0.00959,0.88789,0.96291,0.98224,0.86767,0.58825,0.35355,0.06944,0.0055,0.00055188,0.00055188,0.00055188
64,901.601,0.62698,0.44553,0.05442,0.01222,0.8886,0.9828,0.97785,0.86874,0.55961,0.33901,0.06911,0.00574,0.000537733,0.000537733,0.000537733
65,917.666,0.66411,0.52023,0.05913,0.01462,0.94918,0.91174,0.97835,0.87289,0.52993,0.33062,0.06851,0.00543,0.000523586,0.000523586,0.000523586
66,939.425,0.70821,0.46544,0.05296,0.01951,0.92358,0.93116,0.97779,0.86266,0.55399,0.33331,0.06857,0.00632,0.000509438,0.000509438,0.000509438
67,957.545,0.70785,0.47736,0.05828,0.01287,0.92386,0.95308,0.98556,0.86655,0.53233,0.3224,0.06862,0.00525,0.000495291,0.000495291,0.000495291
68,975.383,0.69932,0.51002,0.05284,0.00986,0.97143,0.91579,0.98458,0.8625,0.5331,0.30953,0.06795,0.00536,0.000481144,0.000481144,0.000481144
69,996.111,0.66275,0.47354,0.05596,0.00888,0.98383,0.90831,0.98293,0.86606,0.55618,0.30819,0.06788,0.00633,0.000466997,0.000466997,0.000466997
70,1016.07,0.69407,0.5283,0.05842,0.01177,0.93511,0.92912,0.97941,0.87019,0.56351,0.32405,0.06812,0.0065,0.00045285,0.00045285,0.00045285
71,1037.64,0.67921,0.46646,0.05697,0.01467,0.909,0.97836,0.98087,0.86147,0.53908,0.31461,0.06809,0.00562,0.000438703,0.000438703,0.000438703
72,1060.28,0.63122,0.47021,0.05972,0.0093,0.90363,0.97487,0.97883,0.85881,0.54345,0.31701,0.0679,0.0052,0.000424556,0.000424556,0.000424556
73,1080.46,0.69195,0.4628,0.05412,0.0126,0.88382,0.97108,0.97893,0.8595,0.54228,0.31893,0.06789,0.00531,0.000410409,0.000410409,0.000410409
74,1100.99,0.6246,0.42855,0.05801,0.00825,0.93448,0.94521,0.98536,0.85192,0.56334,0.31552,0.06823,0.00591,0.000396262,0.000396262,0.000396262
75,1120.63,0.6438,0.40787,0.05299,0.01352,0.94799,0.91794,0.98799,0.86318,0.56266,0.31763,0.06883,0.00666,0.000382115,0.000382115,0.000382115
76,1140.53,0.65551,0.4569,0.05477,0.01449,0.91256,0.94496,0.98902,0.86579,0.55951,0.32205,0.06883,0.00674,0.000367967,0.000367967,0.000367967
77,1162.85,0.66307,0.4217,0.0584,0.01188,0.93103,0.97317,0.99185,0.87071,0.54604,0.30624,0.06854,0.00599,0.00035382,0.00035382,0.00035382
78,1176.34,0.67768,0.47735,0.05333,0.0134,0.94094,0.95951,0.99024,0.8745,0.53697,0.30521,0.06792,0.00551,0.000339673,0.000339673,0.000339673
79,1191.63,0.62918,0.43844,0.0603,0.01268,0.97775,0.96376,0.99318,0.87362,0.54539,0.28189,0.06602,0.00567,0.000325526,0.000325526,0.000325526
80,1212.75,0.64915,0.47284,0.06006,0.01335,0.95367,0.96797,0.99211,0.8659,0.53523,0.28522,0.06622,0.00561,0.000311379,0.000311379,0.000311379
81,1233.05,0.60884,0.40773,0.05244,0.00665,0.94889,0.97009,0.9912,0.87422,0.54643,0.28434,0.06668,0.00594,0.000297232,0.000297232,0.000297232
82,1253.09,0.63717,0.41805,0.05227,0.0106,0.90333,0.98268,0.98954,0.8737,0.53773,0.29221,0.06659,0.00581,0.000283085,0.000283085,0.000283085
83,1274.11,0.67997,0.43629,0.05422,0.01549,0.90632,0.97759,0.98747,0.87801,0.53038,0.28521,0.06638,0.00534,0.000268938,0.000268938,0.000268938
84,1291.54,0.60314,0.41715,0.0537,0.01142,0.89476,0.9699,0.98831,0.87562,0.52352,0.2978,0.06612,0.00527,0.000254791,0.000254791,0.000254791
85,1312.12,0.65619,0.43795,0.05521,0.01241,0.90556,0.94895,0.9884,0.8741,0.53001,0.30224,0.06605,0.00571,0.000240644,0.000240644,0.000240644
86,1333.73,0.64366,0.40779,0.04948,0.00979,0.8966,0.94737,0.98496,0.87215,0.54081,0.30997,0.06586,0.00623,0.000226497,0.000226497,0.000226497
87,1354.07,0.6093,0.39211,0.05439,0.00833,0.91027,0.94341,0.98731,0.87876,0.53071,0.30445,0.06596,0.00591,0.000212349,0.000212349,0.000212349
88,1366.2,0.61397,0.40002,0.0523,0.00993,0.88979,0.99199,0.99045,0.87699,0.54076,0.28836,0.06644,0.00577,0.000198202,0.000198202,0.000198202
89,1380.54,0.61906,0.46387,0.05773,0.01296,0.8969,0.99498,0.98997,0.87902,0.53744,0.28801,0.06665,0.00551,0.000184055,0.000184055,0.000184055
90,1394.19,0.62647,0.46894,0.05358,0.01463,0.89543,1,0.99052,0.88202,0.53372,0.27539,0.06658,0.00555,0.000169908,0.000169908,0.000169908
91,1426.41,0.53131,0.38945,0.06174,0.00552,0.94042,0.93501,0.99025,0.88102,0.53362,0.27138,0.06613,0.00566,0.000155761,0.000155761,0.000155761
92,1438.82,0.52003,0.40597,0.05933,0.00923,0.89119,0.99064,0.99128,0.87636,0.53465,0.26703,0.066,0.0058,0.000141614,0.000141614,0.000141614
93,1452.61,0.50849,0.35875,0.0613,0.00459,0.93494,0.946,0.99265,0.88439,0.53483,0.26878,0.06589,0.00589,0.000127467,0.000127467,0.000127467
94,1472.18,0.53536,0.39758,0.06295,0.00449,0.92907,0.95599,0.99265,0.88119,0.53613,0.27173,0.06589,0.00581,0.00011332,0.00011332,0.00011332
95,1488.72,0.5368,0.39214,0.06145,0.01197,0.94689,0.93042,0.99219,0.87516,0.53512,0.27209,0.06601,0.00553,9.91726e-05,9.91726e-05,9.91726e-05
96,1500.4,0.51639,0.36821,0.06215,0.00809,0.89394,0.98607,0.99128,0.88486,0.53948,0.27386,0.06603,0.0056,8.50255e-05,8.50255e-05,8.50255e-05
97,1514.19,0.50705,0.37225,0.06155,0.00416,0.89249,0.98731,0.9908,0.87334,0.53749,0.27591,0.06591,0.00568,7.08784e-05,7.08784e-05,7.08784e-05
98,1526.16,0.53675,0.38372,0.06076,0.0074,0.89624,0.98911,0.9908,0.87056,0.5362,0.27322,0.06583,0.00574,5.67313e-05,5.67313e-05,5.67313e-05
99,1538.59,0.52219,0.38893,0.0592,0.00463,0.89838,0.97559,0.99128,0.86998,0.53953,0.27099,0.06581,0.00593,4.25842e-05,4.25842e-05,4.25842e-05
100,1550.77,0.53335,0.3769,0.06406,0.00702,0.89941,0.98114,0.99045,0.86884,0.53711,0.27166,0.06578,0.00593,2.84371e-05,2.84371e-05,2.84371e-05
