epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
66,1852.3,0.62582,0.25776,0.04787,0.01557,0.99129,0.98148,0.99364,0.90486,0.51464,0.17783,0.0515,0.00361,0.000509438,0.000509438,0.000509438
67,1877.42,0.61027,0.27806,0.04323,0.01093,0.99389,0.98736,0.99455,0.90308,0.53167,0.1734,0.05286,0.00344,0.000495291,0.000495291,0.000495291
68,1902.39,0.64641,0.27165,0.04574,0.00673,0.98858,0.99074,0.99414,0.9075,0.50732,0.16611,0.05292,0.00329,0.000481144,0.000481144,0.000481144
69,1926.97,0.61556,0.25939,0.04263,0.00975,0.9861,0.99711,0.99484,0.90112,0.51381,0.16456,0.05312,0.00396,0.000466997,0.000466997,0.000466997
70,1952.46,0.61001,0.27457,0.04461,0.01044,0.99184,0.98735,0.99443,0.90558,0.52608,0.17981,0.05271,0.00381,0.00045285,0.00045285,0.00045285
71,1976.63,0.61419,0.27915,0.04822,0.01104,0.99504,0.99804,0.995,0.90416,0.52582,0.15591,0.05319,0.0038,0.000438703,0.000438703,0.000438703
72,2001.45,0.63763,0.2811,0.05054,0.0129,0.98734,0.99391,0.99484,0.89518,0.52823,0.16731,0.05446,0.00467,0.000424556,0.000424556,0.000424556
73,2026.19,0.6253,0.26786,0.04868,0.00856,0.99301,0.9823,0.99469,0.91242,0.49884,0.16692,0.05106,0.00354,0.000410409,0.000410409,0.000410409
74,2050.65,0.62786,0.30187,0.0492,0.01038,0.97685,0.9906,0.99329,0.90112,0.50248,0.17655,0.05081,0.0035,0.000396262,0.000396262,0.000396262
75,2075.87,0.61808,0.28572,0.04744,0.00859,0.98268,0.99053,0.99468,0.90771,0.50847,0.16731,0.0493,0.00391,0.000382115,0.000382115,0.000382115
76,2100.59,0.60688,0.26517,0.04618,0.00917,0.98183,0.98876,0.99356,0.8987,0.51568,0.17407,0.05098,0.00341,0.000367967,0.000367967,0.000367967
77,2125.59,0.62758,0.26307,0.04162,0.00854,0.98387,0.9973,0.995,0.90382,0.49811,0.15277,0.05072,0.0034,0.00035382,0.00035382,0.00035382
78,2150.45,0.64945,0.28108,0.04507,0.01357,0.99883,0.99996,0.995,0.90132,0.50379,0.14958,0.05056,0.00425,0.000339673,0.000339673,0.000339673
79,2175.08,0.61267,0.24978,0.04545,0.01159,0.98732,0.98977,0.99371,0.90534,0.50729,0.17291,0.05121,0.00342,0.000325526,0.000325526,0.000325526
80,2199.21,0.60445,0.28002,0.04095,0.0121,0.97672,0.98907,0.9933,0.90034,0.51546,0.17937,0.05065,0.00353,0.000311379,0.000311379,0.000311379
81,2223.05,0.62446,0.2985,0.04514,0.01398,0.99431,0.99731,0.995,0.9018,0.5261,0.15518,0.05024,0.00413,0.000297232,0.000297232,0.000297232
82,2247.72,0.63293,0.27981,0.04204,0.01315,0.99677,0.99609,0.995,0.90117,0.5153,0.15046,0.0507,0.00337,0.000283085,0.000283085,0.000283085
83,2272.65,0.62953,0.28063,0.04553,0.01243,0.99271,0.99167,0.99484,0.90195,0.50388,0.15745,0.05085,0.00341,0.000268938,0.000268938,0.000268938
84,2297.93,0.61221,0.27818,0.04295,0.00777,0.98716,0.97228,0.99381,0.90509,0.49166,0.16851,0.05052,0.00369,0.000254791,0.000254791,0.000254791
85,2323.13,0.60953,0.24654,0.04301,0.00876,0.9734,0.99942,0.99396,0.89521,0.52632,0.16672,0.05054,0.00328,0.000240644,0.000240644,0.000240644
86,2348.93,0.60395,0.25352,0.04473,0.01237,0.97813,0.99164,0.99438,0.90268,0.50923,0.17034,0.05173,0.00322,0.000226497,0.000226497,0.000226497
87,2374.48,0.62049,0.25667,0.04227,0.01257,0.9682,0.99167,0.99381,0.90755,0.50335,0.17261,0.05148,0.00366,0.000212349,0.000212349,0.000212349
